sim,time,S,I,R
1,0,99,1,0
1,0.1,98.86711451438534,1.1016070604514905,0.03127842516318188
1,0.2,98.72094857685767,1.2133200493251315,0.06573137381721662
1,0.30000000000000004,98.56022340640624,1.3361015316039255,0.10367506198986527
1,0.4,98.38355688309743,1.4709895421440673,0.14545357475852413
1,0.5,98.18944483503056,1.6191109534763697,0.19144421149309898
1,0.6000000000000001,97.97625627055116,1.7816842080977007,0.24205952135115372
1,0.7000000000000001,97.74222983286758,1.9600210273586331,0.2977491397738072
1,0.8,97.48546460588257,2.155532034191113,0.35900335992633736
1,0.9,97.20391448953654,2.3697295334807933,0.42635597698268846
1,1,96.89538292862078,2.6042295816148604,0.5003874897643861
1,1.1,96.5575191832017,2.860752706939605,0.5817281098587057
1,1.2000000000000002,96.18781622683895,3.1411229964945773,0.6710607766665031
1,1.3,95.78361032318927,3.4472653923501193,0.7691242844606407
1,1.4000000000000001,95.3420832960501,3.781200485461982,0.8767162184879379
1,1.5,94.86026787147937,4.1450364414377905,0.9946956870828674
1,1.6,94.33505689586511,4.540957345037869,1.1239857590970346
1,1.7000000000000002,93.76321680250496,4.971207692441787,1.2655755050532775
1,1.8,93.14140613905553,5.438072343724386,1.4205215172200936
1,1.9000000000000001,92.46620000248556,5.943851251824073,1.5899487456903798
1,2,91.73412099562968,6.4908285039559335,1.7750505004144037
1,2.1,90.94167732789414,7.081235229404274,1.9770874427016025
1,2.2,90.08540863423704,7.717205991007457,2.1973853747555236
1,2.3000000000000003,89.16193989144242,8.400728478180774,2.4373316303768355
1,2.4000000000000004,88.16804357474905,9.13358655743627,2.698369867814712
1,2.5,87.10070989099232,9.917297037856912,2.9819930711507845
1,2.6,85.9572245324665,10.753040884536063,3.289734582997458
1,2.7,84.73525292726089,11.641590053331516,3.6231570194076084
1,2.8000000000000003,83.43292942486805,12.58323161501872,3.9838389601132502
1,2.9000000000000004,82.04894927060604,13.577691364662464,4.373359364731515
1,3,80.58266061971983,14.624059641375649,4.793279738904536
1,3.1,79.0341532640245,15.720722573005622,5.245124162969894
1,3.2,77.4043402433662,16.865302358886936,5.730357397746854
1,3.3000000000000003,75.69502815128004,18.05461045488614,6.2503613938338205
1,3.4000000000000004,73.90897178195195,19.284617570862434,6.806410647185626
1,3.5,72.04990886257636,20.55044417965587,7.399646957767772
1,3.6,70.12257105517385,21.846374701559416,8.03105424326673
1,3.7,68.13266793131677,23.16589788213539,8.701434186547843
1,3.8000000000000003,66.08684214491855,24.501774391650514,9.41138346343094
1,3.9000000000000004,63.99259485499558,25.84613174573361,10.161273399270803
1,4,61.85818229347077,27.190584865513543,10.951232841015685
1,4.1000000000000005,59.692485842732516,28.526379186634596,11.781134970632891
1,4.2,57.504859716405115,29.84455162292653,12.650588660668358
1,4.3,55.304961680296664,31.136103504197692,13.558934815505655
1,4.4,53.10257332045689,32.39217871884877,14.505247960694346
1,4.5,50.90741704660773,33.60423982666829,15.488343126723986
1,4.6000000000000005,48.72897718578503,34.764234955087574,16.506787859127403
1,4.7,46.576332183086116,35.86474883745746,17.55891897945643
1,4.800000000000001,44.45800412120759,36.899132341162336,18.642863537630088
1,4.9,42.38183058269154,37.86160617034756,19.756563246960898
1,5,40.35486242806503,38.74733598449014,20.897801587444818
1,5.1000000000000005,38.383289487288444,39.55247780768206,22.06423270502949
1,5.2,36.472394611678,40.274194163795414,23.25341122452658
1,5.300000000000001,34.62653503235917,40.91064283857715,24.462822129063667
1,5.4,32.84914894142162,41.460941125759504,25.68990993281888
1,5.5,31.142784091010267,41.9251094403671,26.932106468622628
1,5.6000000000000005,29.509144766893417,42.30399849091483,28.186856742191747
1,5.7,27.949153115001014,42.59920445881614,29.451642426182847
1,5.800000000000001,26.46302081265306,42.812976484610665,30.72400270273627
1,5.9,25.050327288965573,42.94812042522693,32.001552285807485
1,6,23.710101056523925,43.007902378844584,33.281996564631484
1,6.1000000000000005,22.440901197741443,42.99595489516922,34.56314390708934
1,6.2,21.240896587594918,42.91618817399208,35.842915238413006
1,6.300000000000001,20.107940977344114,42.7727079519199,37.119351070736
1,6.4,19.03964258257768,42.56974121640283,38.390616201019505
1,6.5,18.033427287938665,42.311570390845866,39.655002321215484
1,6.6000000000000005,17.086594985589016,42.00247621709818,40.91092879731282
1,6.7,16.196368898468663,41.6466892260635,42.15694187546785
1,6.800000000000001,15.359938002541186,41.24834943131457,43.39171256614426
1,6.9,14.574492858917049,40.81147369765835,44.61403344342461
1,7,13.837255304257182,40.339930117336095,45.822814578406735
1,7.1000000000000005,13.145502534933286,39.83741866045061,47.01707880461612
1,7.2,12.49658616622962,39.30745734269465,48.195956491075755
1,7.300000000000001,11.88794686127471,38.75337316253277,49.35867997619255
1,7.4,11.317125113454313,38.178297092764616,50.50457779378109
1,7.5,10.781768737786008,37.58516246027254,51.63306880194147
1,7.6000000000000005,10.2796375869833,36.976706106497645,52.74365630651907
1,7.7,9.80860596141168,36.355471784867646,53.8359222537207
1,7.800000000000001,9.36666313249714,35.72381531627293,54.90952155122996
1,7.9,8.951912349118215,35.08391108703319,55.96417656384863
1,8,8.562568648041724,34.437759533743026,56.999671818215276
1,8.1,8.196955743858721,33.7871953147458,58.015848941395504
1,8.200000000000001,7.853502231943479,33.13389591810178,59.01260184995477
1,8.3,7.53073730011338,32.47939050053554,59.98987219935111
1,8.4,7.227286111043762,31.825068790995903,60.94764509796037
1,8.5,6.9418649880209395,31.172189926371804,61.88594508560729
1,8.6,6.673276511092848,30.5218911159321,62.80483237297508
