time,S,I,R
0,0.999999,1e-6,0
0.05,0.9999989191929219,1.0619873335347423e-6,1.8819744574296488e-8
0.1,0.9999988333769729,1.127816984139803e-6,3.880604296503336e-8
0.15000000000000002,0.999998742241606,1.1977271729943172e-6,6.003122103380592e-8
0.2,0.9999986454570245,1.2719708875779755e-6,8.257208784505075e-8
0.25,0.9999985426730519,1.3508167491742503e-6,1.0651019905377342e-7
0.30000000000000004,0.9999984335178046,1.4345500297903255e-6,1.31932165658281e-7
0.35000000000000003,0.9999983175963483,1.5234736843802396e-6,1.589299674002798e-7
0.4,0.9999981944892676,1.6179094468796365e-6,1.8760128553997566e-7
0.45,0.9999980637511495,1.7181989942155865e-6,2.1804985627041255e-7
0.5,0.9999979249089715,1.8247051824642624e-6,2.5038584603813806e-7
0.55,0.9999977774603903,1.937813359627688e-6,2.847262501279136e-7
0.6000000000000001,0.9999976208719243,2.057932759778103e-6,3.2119531595341943e-7
0.65,0.9999974545770239,2.185497983612702e-6,3.5992499258526076e-7
0.7000000000000001,0.9999972779740212,2.320970570773966e-6,4.01055408142481e-7
0.75,0.9999970904239537,2.464840669622588e-6,4.447353767745714e-7
0.8,0.9999968912482524,2.6176288105024018e-6,4.911229370679946e-7
0.8500000000000001,0.9999966797262874,2.7798877889108544e-6,5.40385923824893e-7
0.9,0.9999964550927594,2.9522046653859452e-6,5.927025752823565e-7
0.9500000000000001,0.9999962165349328,3.1352028893424997e-6,6.482621779688016e-7
1,0.999995963189694,3.3295445545387287e-6,7.072657515301248e-7
1.05,0.9999956941404297,3.5359327943298487e-6,7.699267760028562e-7
1.1,0.9999954084137104,3.7551143253708095e-6,8.36471964165029e-7
1.1500000000000001,0.9999951049757693,3.9878821489667556e-6,9.0714208175851e-7
1.2000000000000002,0.9999947827287616,4.235078419839586e-6,9.821928185496353e-7
1.25,0.999994440506794,4.497597492684038e-6,1.0618957133788333e-6
1.3,0.9999940770717058,4.776389157529188e-6,1.1465391365451418e-6
1.35,0.9999936911085913,5.072462075603467e-6,1.2364293330788231e-6
1.4000000000000001,0.999993281221041,5.386887428125786e-6,1.3318915306754475e-6
1.4500000000000002,0.9999928459260924,5.720802791214583e-6,1.4332711162985801e-6
1.5,0.9999923836488633,6.075416250923442e-6,1.5409348857064775e-6
1.55,0.9999918927168562,6.452010773279364e-6,1.6552723704218222e-6
1.6,0.9999913713539079,6.851948845120679e-6,1.7766972469434764e-6
1.6500000000000001,0.9999908176737641,7.27667740250963e-6,1.9056488332965283e-6
1.7000000000000002,0.9999902296732571,7.727733064533032e-6,2.0425936783325814e-6
1.75,0.999989605225059,8.206747691406993e-6,2.1880272495274674e-6
1.8,0.9999889420699876,8.715454286972463e-6,2.3424757253795537e-6
1.85,0.9999882378088341,9.2556932669114e-6,2.506497898889796e-6
1.9000000000000001,0.9999874898936856,9.829419115333317e-6,2.680687199006121e-6
1.9500000000000002,0.9999866956187088,1.0438707453783222e-5,2.865673837340936e-6
2,0.9999858521103637,1.1085762548210043e-5,3.0621270879231753e-6
2.0500000000000003,0.9999849563170106,1.1772925281014324e-5,3.270757708226914e-6
2.1,0.9999840049978725,1.2502681616971275e-5,3.492320510228881e-6
2.15,0.9999829947113154,1.3277671593606135e-5,3.7276170907891514e-6
2.2,0.9999819218024,1.4100698868489328e-5,3.9774987312246435e-6
2.25,0.9999807823896651,1.4974740857926157e-5,4.24286947655606e-6
2.3000000000000003,0.9999795723510905,1.590295950364688e-5,4.524689405557683e-6
2.35,0.9999782873091898,1.6888712706364996e-5,4.82397810342821e-6
2.4000000000000004,0.9999769226151826,1.7935566467473633e-5,5.141818349632328e-6
2.45,0.9999754733321826,1.9047307782698998e-5,5.479360034239214e-6
2.5,0.9999739342173485,2.0227958334236882e-5,5.837824316908859e-6
2.5500000000000003,0.9999722997029252,2.148178903077061e-5,6.218508043552472e-6
2.6,0.999970563876115,2.2813335447819028e-5,6.622788436622874e-6
2.6500000000000004,0.9999687204576995,2.42274142241e-5,7.05212807597773e-6
2.7,0.9999667627793382,2.572914047303084e-5,7.5080801883061955e-6
2.75,0.9999646837594632,2.73239462721344e-5,7.992294264222209e-6
2.8000000000000003,0.9999624758776793,2.9017600296989953e-5,8.50652202330861e-6
2.85,0.9999601311475804,3.0816228670476324e-5,9.052623748650272e-6
2.9000000000000004,0.9999576410878833,3.272633710241493e-5,9.632575013725683e-6
2.95,0.9999549966917741,3.475483439934658e-5,1.0248473825939489e-5
3,0.9999521883943578,3.69090574290869e-5,1.0902548212579033e-5
3.0500000000000003,0.9999492060380929,3.919679762991461e-5,1.1597164276570314e-5
3.1,0.9999460388360885,4.162632915977604e-5,1.2334834751099646e-5
3.1500000000000004,0.9999426753331286,4.4206438786755265e-5,1.3118228083961905e-5
3.2,0.9999391033642867,4.694645762828225e-5,1.3950178084401128e-5
3.25,0.9999353100109789,4.985629485315528e-5,1.4833694167231563e-5
3.3000000000000003,0.9999312815543008,5.29464734674428e-5,1.577197223116881e-5
3.35,0.9999270053084816,5.62267239711414e-5,1.6767967546690222e-5
3.4000000000000004,0.9999224635108998,5.9710670958733624e-05,1.7825818140849515e-5
3.45,0.9999176403092657,6.34104736482961e-5,1.8949217085306383e-5
3.5,0.9999125182818768,6.73394949770519e-5,2.0142223145493624e-5
3.5500000000000003,0.9999070789144299,7.15119358520887e-5,2.1409149717243524e-5
3.6,0.9999013025505051,7.594287311426252e-5,2.275457637981115e-5
3.6500000000000004,0.9998951683163837,8.064831718599874e-5,2.418336642958201e-5
3.7,0.9998886540460273,8.564526959263516e-5,2.5700684379170883e-5
3.75,0.9998817362011722,9.09517842289406e-5,2.7312014598095887e-5
3.8000000000000003,0.9998743897864645,9.658703242321094e-5,2.902318111150307e-5
3.85,0.9998665882593656,1.0257137201145292e-4,3.0840368622108264e-5
3.9000000000000004,0.9998583034344974,1.0892642067015043e-4,3.277014483153245e-5
3.95,0.9998495053820893,1.1567513376866159e-4,3.481948414111108e-5
4,0.9998401623201637,1.2284188701815137e-4,3.699579281717746e-5
4.05,0.9998302405000773,1.3045256421073784e-4,3.930693571103107e-5
4.1000000000000005,0.9998197040850094,1.3853465036027513e-4,4.1761264629323183e-05
4.15,0.9998085150209675,1.4711733057498248e-4,4.43676484564462e-5
4.2,0.9997966328998502,1.5623159501201704e-4,4.7135505136721495e-5
4.25,0.999784014814083,1.659103502851285e-4,5.0074835630760167e-5
4.3,0.9997706152023127,1.7618853771880587e-4,5.319625996734852e-5
4.3500000000000005,0.9997563856856133,1.8710325886587512e-4,5.651105551960383e-5
4.4,0.9997412748936264,1.9869390873041592e-4,6.003119764198207e-5
4.45,0.9997252282800215,2.1100231716420027e-4,6.376940281302463e-5
4.5,0.9997081879266285,2.2407289893268105e-4,6.773917443752712e-5
